SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,sub_idx
6583102,29,20,24,-0.5,-1,1,1,0.5,29
6583102,29,15,24,0.5,-1,2,1,0.5,29
6583000,30,23,24,-0.5,-1,1,1,-0.5,30
6583000,30,16,24,0.5,-1,2,1,-0.5,30
6583000,30,24,24,-0.5,-1,1,1,0.5,30
6583000,30,12,24,0.5,-1,2,1,0.5,30
6583211,31,23,24,-0.5,-1,1,1,-0.5,31
6583211,31,18,24,0.5,-1,2,1,-0.5,31
6583211,31,20,23,-0.5,-1,1,1,0.5,31
6583211,31,15,24,0.5,-1,2,1,0.5,31
6576547,32,11,23,-0.5,1,1,2,-0.5,32
6576547,32,22,24,0.5,1,2,2,-0.5,32
6576547,32,15,23,-0.5,1,1,2,0.5,32
6576547,32,19,24,0.5,1,2,2,0.5,32
6576624,33,13,24,-0.5,1,1,2,-0.5,33
6576624,33,10,23,0.5,1,2,2,-0.5,33
6576624,33,17,24,-0.5,1,1,2,0.5,33
6576624,33,14,24,0.5,1,2,2,0.5,33
6576647,34,12,24,-0.5,1,1,2,-0.5,34
6576647,34,12,24,0.5,1,2,2,-0.5,34
6576647,34,11,24,-0.5,1,1,2,0.5,34
6576647,34,15,24,0.5,1,2,2,0.5,34
6577311,35,17,23,-0.5,1,1,2,-0.5,35
6577311,35,18,23,0.5,1,2,2,-0.5,35
6577311,35,11,24,-0.5,1,1,2,0.5,35
6577311,35,14,24,0.5,1,2,2,0.5,35
6577325,36,18,24,-0.5,1,1,2,-0.5,36
6577325,36,20,24,0.5,1,2,2,-0.5,36
6577325,36,16,24,-0.5,1,1,2,0.5,36
6577325,36,12,24,0.5,1,2,2,0.5,36
6577374,37,19,24,-0.5,1,1,2,-0.5,37
6577374,37,20,24,0.5,1,2,2,-0.5,37
6577374,37,15,24,-0.5,1,1,2,0.5,37
6577374,37,11,23,0.5,1,2,2,0.5,37
6577493,38,18,24,-0.5,1,1,2,-0.5,38
6577493,38,22,24,0.5,1,2,2,-0.5,38
6577493,38,19,24,-0.5,1,1,2,0.5,38
6577493,38,23,24,0.5,1,2,2,0.5,38
6578172,39,21,22,-0.5,1,1,2,-0.5,39
6578172,39,14,22,0.5,1,2,2,-0.5,39
6578172,39,9,18,-0.5,1,1,2,0.5,39
6578172,39,9,19,0.5,1,2,2,0.5,39
6581457,40,15,24,-0.5,1,1,2,-0.5,40
6581457,40,11,24,0.5,1,2,2,-0.5,40
6581457,40,12,24,-0.5,1,1,2,0.5,40
6581457,40,15,22,0.5,1,2,2,0.5,40
6581473,41,19,24,-0.5,1,1,2,-0.5,41
6581473,41,19,24,0.5,1,2,2,-0.5,41
6581473,41,11,24,-0.5,1,1,2,0.5,41
6581473,41,17,24,0.5,1,2,2,0.5,41
6581482,42,19,23,-0.5,1,1,2,-0.5,42
6581482,42,15,23,0.5,1,2,2,-0.5,42
6581482,42,13,24,-0.5,1,1,2,0.5,42
6581482,42,11,22,0.5,1,2,2,0.5,42
6583001,43,18,24,-0.5,1,1,2,-0.5,43
6583001,43,23,24,0.5,1,2,2,-0.5,43
6583001,43,17,23,-0.5,1,1,2,0.5,43
6583001,43,21,24,0.5,1,2,2,0.5,43
6582995,44,16,24,-0.5,1,1,2,-0.5,44
6582995,44,22,24,0.5,1,2,2,-0.5,44
6582995,44,14,24,-0.5,1,1,2,0.5,44
6582995,44,21,24,0.5,1,2,2,0.5,44
6583070,45,16,24,-0.5,1,1,2,-0.5,45
6583070,45,22,24,0.5,1,2,2,-0.5,45
6583070,45,14,24,-0.5,1,1,2,0.5,45
6583070,45,11,24,0.5,1,2,2,0.5,45
6583714,46,18,24,-0.5,1,1,2,-0.5,46
6583714,46,18,24,0.5,1,2,2,-0.5,46
6583714,46,19,24,-0.5,1,1,2,0.5,46
6583714,46,14,24,0.5,1,2,2,0.5,46
6583839,47,16,24,-0.5,1,1,2,-0.5,47
6583839,47,15,24,0.5,1,2,2,-0.5,47
6583839,47,9,24,-0.5,1,1,2,0.5,47
6583839,47,12,23,0.5,1,2,2,0.5,47
6576577,48,16,24,-0.5,1,1,2,-0.5,48
6576577,48,11,24,0.5,1,2,2,-0.5,48
6576577,48,10,24,-0.5,1,1,2,0.5,48
6576577,48,12,23,0.5,1,2,2,0.5,48
6576671,49,16,24,-0.5,1,1,2,-0.5,49
6576671,49,19,24,0.5,1,2,2,-0.5,49
6576671,49,9,23,-0.5,1,1,2,0.5,49
6576671,49,20,22,0.5,1,2,2,0.5,49
6576614,50,13,24,-0.5,1,1,2,-0.5,50
6576614,50,13,22,0.5,1,2,2,-0.5,50
6576614,50,16,23,-0.5,1,1,2,0.5,50
6576614,50,12,23,0.5,1,2,2,0.5,50
6577313,51,14,24,-0.5,1,1,2,-0.5,51
6577313,51,21,24,0.5,1,2,2,-0.5,51
6577313,51,15,24,-0.5,1,1,2,0.5,51
6577313,51,19,24,0.5,1,2,2,0.5,51
6577307,52,17,24,-0.5,1,1,2,-0.5,52
6577307,52,14,24,0.5,1,2,2,-0.5,52
6577307,52,6,24,-0.5,1,1,2,0.5,52
6577307,52,11,23,0.5,1,2,2,0.5,52
6577350,53,22,24,-0.5,1,1,2,-0.5,53
6577350,53,23,24,0.5,1,2,2,-0.5,53
6577350,53,13,24,-0.5,1,1,2,0.5,53
6577350,53,23,24,0.5,1,2,2,0.5,53
6577363,54,17,23,-0.5,1,1,2,-0.5,54
6577363,54,11,24,0.5,1,2,2,-0.5,54
6577363,54,11,23,-0.5,1,1,2,0.5,54
6577363,54,8,23,0.5,1,2,2,0.5,54
6577883,55,17,24,-0.5,1,1,2,-0.5,55
6577883,55,22,24,0.5,1,2,2,-0.5,55
6577883,55,15,24,-0.5,1,1,2,0.5,55
6577883,55,16,23,0.5,1,2,2,0.5,55
6581471,56,12,23,-0.5,1,1,2,-0.5,56
6581471,56,20,22,0.5,1,2,2,-0.5,56
6581471,56,10,23,-0.5,1,1,2,0.5,56
6581471,56,21,23,0.5,1,2,2,0.5,56
6581416,57,12,22,-0.5,1,1,2,-0.5,57
6581416,57,22,24,0.5,1,2,2,-0.5,57
6581416,57,17,23,-0.5,1,1,2,0.5,57
6581416,57,19,23,0.5,1,2,2,0.5,57
6581441,58,21,24,-0.5,1,1,2,-0.5,58
6581441,58,19,24,0.5,1,2,2,-0.5,58
6581441,58,10,24,-0.5,1,1,2,0.5,58
6581441,58,11,23,0.5,1,2,2,0.5,58
6583063,59,15,24,-0.5,1,1,2,-0.5,59
6583063,59,23,23,0.5,1,2,2,-0.5,59
6583063,59,15,23,-0.5,1,1,2,0.5,59
6583063,59,14,24,0.5,1,2,2,0.5,59
6583120,60,19,24,-0.5,1,1,2,-0.5,60
6583120,60,22,24,0.5,1,2,2,-0.5,60
6583120,60,20,24,-0.5,1,1,2,0.5,60
6583120,60,20,24,0.5,1,2,2,0.5,60
6583099,61,16,24,-0.5,1,1,2,-0.5,61
6583099,61,19,24,0.5,1,2,2,-0.5,61
6583099,61,15,24,-0.5,1,1,2,0.5,61
6583099,61,18,24,0.5,1,2,2,0.5,61
6583198,62,15,24,-0.5,1,1,2,-0.5,62
6583198,62,14,24,0.5,1,2,2,-0.5,62
6583198,62,13,24,-0.5,1,1,2,0.5,62
6583198,62,13,24,0.5,1,2,2,0.5,62
6576593,63,12,20,-0.5,-1,1,1,-0.5,63
