SubID,subject,correct,total_trials,trial_type,condition,condition_non_rec,probe_type,sub_idx
6583839,47,1,1,1,1,2,0.5,47
6583839,47,1,1,2,1,2,0.5,47
6576577,48,1,1,2,1,2,-0.5,48
6576577,48,1,1,1,1,2,0.5,48
6576577,48,0,1,2,1,2,0.5,48
6576671,49,1,1,2,1,2,-0.5,49
6576671,49,0,1,1,1,2,0.5,49
6576671,49,0,1,2,1,2,0.5,49
6576614,50,1,1,2,1,2,-0.5,50
6576614,50,0,1,1,1,2,0.5,50
6576614,50,1,1,2,1,2,0.5,50
6577313,51,1,1,2,1,2,-0.5,51
6577313,51,0,1,1,1,2,0.5,51
6577313,51,0,1,2,1,2,0.5,51
6577307,52,1,1,2,1,2,-0.5,52
6577307,52,0,1,1,1,2,0.5,52
6577307,52,1,1,2,1,2,0.5,52
6577350,53,1,1,2,1,2,-0.5,53
6577350,53,1,1,1,1,2,0.5,53
6577350,53,1,1,2,1,2,0.5,53
6577363,54,0,1,2,1,2,-0.5,54
6577363,54,1,1,1,1,2,0.5,54
6577363,54,1,1,2,1,2,0.5,54
6577883,55,1,1,2,1,2,-0.5,55
6577883,55,1,1,1,1,2,0.5,55
6577883,55,1,1,2,1,2,0.5,55
6581471,56,1,1,2,1,2,-0.5,56
6581471,56,1,1,1,1,2,0.5,56
6581471,56,1,1,2,1,2,0.5,56
6581416,57,0,1,2,1,2,-0.5,57
6581416,57,0,1,1,1,2,0.5,57
6581416,57,0,1,2,1,2,0.5,57
6581441,58,1,1,2,1,2,-0.5,58
6581441,58,1,1,1,1,2,0.5,58
6581441,58,0,1,2,1,2,0.5,58
6583063,59,1,1,2,1,2,-0.5,59
6583063,59,1,1,1,1,2,0.5,59
6583063,59,0,1,2,1,2,0.5,59
6583120,60,1,1,2,1,2,-0.5,60
6583120,60,1,1,1,1,2,0.5,60
6583120,60,1,1,2,1,2,0.5,60
6583099,61,1,1,2,1,2,-0.5,61
6583099,61,0,1,1,1,2,0.5,61
6583099,61,0,1,2,1,2,0.5,61
6583198,62,1,1,2,1,2,-0.5,62
6583198,62,0,1,1,1,2,0.5,62
6583198,62,0,1,2,1,2,0.5,62
6576593,63,1,1,2,-1,1,-0.5,63
6576593,63,1,1,1,-1,1,0.5,63
6576593,63,0,1,2,-1,1,0.5,63
6576627,64,1,1,2,-1,1,-0.5,64
6576627,64,1,1,1,-1,1,0.5,64
6576627,64,1,1,2,-1,1,0.5,64
