SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,sub_idx
6583102,29,12,18,-0.5,-1,1,1,0.5,29
6583102,29,7,18,0.5,-1,2,1,0.5,29
6583000,30,18,18,-0.5,-1,1,1,-0.5,30
6583000,30,6,18,0.5,-1,2,1,-0.5,30
6583000,30,17,18,-0.5,-1,1,1,0.5,30
6583000,30,9,18,0.5,-1,2,1,0.5,30
6583211,31,18,18,-0.5,-1,1,1,-0.5,31
6583211,31,11,18,0.5,-1,2,1,-0.5,31
6583211,31,9,18,-0.5,-1,1,1,0.5,31
6583211,31,11,18,0.5,-1,2,1,0.5,31
6576547,32,8,18,-0.5,1,1,2,-0.5,32
6576547,32,10,18,0.5,1,2,2,-0.5,32
6576547,32,11,18,-0.5,1,1,2,0.5,32
6576547,32,11,18,0.5,1,2,2,0.5,32
6576624,33,9,18,-0.5,1,1,2,-0.5,33
6576624,33,12,18,0.5,1,2,2,-0.5,33
6576624,33,6,18,-0.5,1,1,2,0.5,33
6576624,33,8,17,0.5,1,2,2,0.5,33
6576647,34,9,18,-0.5,1,1,2,-0.5,34
6576647,34,14,18,0.5,1,2,2,-0.5,34
6576647,34,6,18,-0.5,1,1,2,0.5,34
6576647,34,12,18,0.5,1,2,2,0.5,34
6577311,35,12,18,-0.5,1,1,2,-0.5,35
6577311,35,11,18,0.5,1,2,2,-0.5,35
6577311,35,10,17,-0.5,1,1,2,0.5,35
6577311,35,8,17,0.5,1,2,2,0.5,35
6577325,36,9,18,-0.5,1,1,2,-0.5,36
6577325,36,15,18,0.5,1,2,2,-0.5,36
6577325,36,12,18,-0.5,1,1,2,0.5,36
6577325,36,12,18,0.5,1,2,2,0.5,36
6577374,37,16,18,-0.5,1,1,2,-0.5,37
6577374,37,17,18,0.5,1,2,2,-0.5,37
6577374,37,10,17,-0.5,1,1,2,0.5,37
6577374,37,11,17,0.5,1,2,2,0.5,37
6577493,38,17,18,-0.5,1,1,2,-0.5,38
6577493,38,17,18,0.5,1,2,2,-0.5,38
6577493,38,18,18,-0.5,1,1,2,0.5,38
6577493,38,17,18,0.5,1,2,2,0.5,38
6578172,39,11,16,-0.5,1,1,2,-0.5,39
6578172,39,11,16,0.5,1,2,2,-0.5,39
6578172,39,12,17,-0.5,1,1,2,0.5,39
6578172,39,11,16,0.5,1,2,2,0.5,39
6581457,40,13,15,-0.5,1,1,2,-0.5,40
6581457,40,12,18,0.5,1,2,2,-0.5,40
6581457,40,16,18,-0.5,1,1,2,0.5,40
6581457,40,10,18,0.5,1,2,2,0.5,40
6581473,41,17,18,-0.5,1,1,2,-0.5,41
6581473,41,16,18,0.5,1,2,2,-0.5,41
6581473,41,16,18,-0.5,1,1,2,0.5,41
6581473,41,10,18,0.5,1,2,2,0.5,41
6581482,42,17,18,-0.5,1,1,2,-0.5,42
6581482,42,13,18,0.5,1,2,2,-0.5,42
6581482,42,1,17,-0.5,1,1,2,0.5,42
6581482,42,10,17,0.5,1,2,2,0.5,42
6583001,43,16,18,-0.5,1,1,2,-0.5,43
6583001,43,13,17,0.5,1,2,2,-0.5,43
6583001,43,17,18,-0.5,1,1,2,0.5,43
6583001,43,12,17,0.5,1,2,2,0.5,43
6582995,44,17,18,-0.5,1,1,2,-0.5,44
6582995,44,15,18,0.5,1,2,2,-0.5,44
6582995,44,1,18,-0.5,1,1,2,0.5,44
6582995,44,11,17,0.5,1,2,2,0.5,44
6583070,45,16,18,-0.5,1,1,2,-0.5,45
6583070,45,17,18,0.5,1,2,2,-0.5,45
6583070,45,1,18,-0.5,1,1,2,0.5,45
6583070,45,15,18,0.5,1,2,2,0.5,45
6583714,46,17,18,-0.5,1,1,2,-0.5,46
6583714,46,15,17,0.5,1,2,2,-0.5,46
6583714,46,15,18,-0.5,1,1,2,0.5,46
6583714,46,16,17,0.5,1,2,2,0.5,46
6583839,47,16,18,-0.5,1,1,2,-0.5,47
6583839,47,13,17,0.5,1,2,2,-0.5,47
6583839,47,15,18,-0.5,1,1,2,0.5,47
6583839,47,16,18,0.5,1,2,2,0.5,47
6576577,48,16,18,-0.5,1,1,2,-0.5,48
6576577,48,16,18,0.5,1,2,2,-0.5,48
6576577,48,15,18,-0.5,1,1,2,0.5,48
6576577,48,9,18,0.5,1,2,2,0.5,48
6576671,49,15,18,-0.5,1,1,2,-0.5,49
6576671,49,14,18,0.5,1,2,2,-0.5,49
6576671,49,16,18,-0.5,1,1,2,0.5,49
6576671,49,8,18,0.5,1,2,2,0.5,49
6576614,50,8,18,-0.5,1,1,2,-0.5,50
6576614,50,12,18,0.5,1,2,2,-0.5,50
6576614,50,12,18,-0.5,1,1,2,0.5,50
6576614,50,9,18,0.5,1,2,2,0.5,50
6577313,51,12,18,-0.5,1,1,2,-0.5,51
6577313,51,15,17,0.5,1,2,2,-0.5,51
6577313,51,11,17,-0.5,1,1,2,0.5,51
6577313,51,16,18,0.5,1,2,2,0.5,51
6577307,52,17,18,-0.5,1,1,2,-0.5,52
6577307,52,11,18,0.5,1,2,2,-0.5,52
6577307,52,11,18,-0.5,1,1,2,0.5,52
6577307,52,7,17,0.5,1,2,2,0.5,52
6577350,53,14,18,-0.5,1,1,2,-0.5,53
6577350,53,17,18,0.5,1,2,2,-0.5,53
6577350,53,11,18,-0.5,1,1,2,0.5,53
6577350,53,17,18,0.5,1,2,2,0.5,53
6577363,54,10,18,-0.5,1,1,2,-0.5,54
6577363,54,11,18,0.5,1,2,2,-0.5,54
6577363,54,9,18,-0.5,1,1,2,0.5,54
6577363,54,8,18,0.5,1,2,2,0.5,54
6577883,55,14,18,-0.5,1,1,2,-0.5,55
6577883,55,18,18,0.5,1,2,2,-0.5,55
6577883,55,8,18,-0.5,1,1,2,0.5,55
6577883,55,15,17,0.5,1,2,2,0.5,55
6581471,56,13,18,-0.5,1,1,2,-0.5,56
6581471,56,12,18,0.5,1,2,2,-0.5,56
6581471,56,15,16,-0.5,1,1,2,0.5,56
6581471,56,13,17,0.5,1,2,2,0.5,56
6581416,57,16,18,-0.5,1,1,2,-0.5,57
6581416,57,15,18,0.5,1,2,2,-0.5,57
6581416,57,12,18,-0.5,1,1,2,0.5,57
6581416,57,14,18,0.5,1,2,2,0.5,57
6581441,58,17,18,-0.5,1,1,2,-0.5,58
6581441,58,16,17,0.5,1,2,2,-0.5,58
6581441,58,10,18,-0.5,1,1,2,0.5,58
6581441,58,11,18,0.5,1,2,2,0.5,58
6583063,59,15,18,-0.5,1,1,2,-0.5,59
6583063,59,14,18,0.5,1,2,2,-0.5,59
6583063,59,15,18,-0.5,1,1,2,0.5,59
6583063,59,8,17,0.5,1,2,2,0.5,59
6583120,60,16,18,-0.5,1,1,2,-0.5,60
6583120,60,16,18,0.5,1,2,2,-0.5,60
6583120,60,15,17,-0.5,1,1,2,0.5,60
6583120,60,16,18,0.5,1,2,2,0.5,60
6583099,61,13,18,-0.5,1,1,2,-0.5,61
6583099,61,13,18,0.5,1,2,2,-0.5,61
6583099,61,6,17,-0.5,1,1,2,0.5,61
6583099,61,11,17,0.5,1,2,2,0.5,61
6583198,62,9,18,-0.5,1,1,2,-0.5,62
6583198,62,14,18,0.5,1,2,2,-0.5,62
6583198,62,10,18,-0.5,1,1,2,0.5,62
6583198,62,6,18,0.5,1,2,2,0.5,62
6576593,63,17,18,-0.5,-1,1,1,-0.5,63
6576593,63,9,18,0.5,-1,2,1,-0.5,63
6576593,63,17,18,-0.5,-1,1,1,0.5,63
6576593,63,9,16,0.5,-1,2,1,0.5,63
6576627,64,18,18,-0.5,-1,1,1,-0.5,64
6576627,64,9,18,0.5,-1,2,1,-0.5,64
6576627,64,18,18,-0.5,-1,1,1,0.5,64
6576627,64,14,18,0.5,-1,2,1,0.5,64
6576713,65,16,17,-0.5,-1,1,1,-0.5,65
6576713,65,12,18,0.5,-1,2,1,-0.5,65
6576713,65,14,17,-0.5,-1,1,1,0.5,65
6576713,65,9,18,0.5,-1,2,1,0.5,65
6577329,66,15,18,-0.5,-1,1,1,-0.5,66
6577329,66,8,18,0.5,-1,2,1,-0.5,66
6577329,66,16,18,-0.5,-1,1,1,0.5,66
6577329,66,12,18,0.5,-1,2,1,0.5,66
6577309,67,18,18,-0.5,-1,1,1,-0.5,67
6577309,67,14,18,0.5,-1,2,1,-0.5,67
6577309,67,18,18,-0.5,-1,1,1,0.5,67
6577309,67,15,18,0.5,-1,2,1,0.5,67
6577391,68,16,18,-0.5,-1,1,1,-0.5,68
6577391,68,8,18,0.5,-1,2,1,-0.5,68
6577391,68,15,18,-0.5,-1,1,1,0.5,68
6577391,68,14,18,0.5,-1,2,1,0.5,68
6577369,69,18,18,-0.5,-1,1,1,-0.5,69
6577369,69,17,18,0.5,-1,2,1,-0.5,69
6577369,69,13,17,-0.5,-1,1,1,0.5,69
6577369,69,13,16,0.5,-1,2,1,0.5,69
6577895,70,17,18,-0.5,-1,1,1,-0.5,70
6577895,70,15,18,0.5,-1,2,1,-0.5,70
6577895,70,7,15,-0.5,-1,1,1,0.5,70
6577895,70,7,18,0.5,-1,2,1,0.5,70
6581421,71,17,17,-0.5,-1,1,1,-0.5,71
6581421,71,17,18,0.5,-1,2,1,-0.5,71
6581421,71,18,18,-0.5,-1,1,1,0.5,71
6581421,71,17,18,0.5,-1,2,1,0.5,71
6581462,72,18,18,-0.5,-1,1,1,-0.5,72
6581462,72,7,18,0.5,-1,2,1,-0.5,72
6581462,72,9,18,-0.5,-1,1,1,0.5,72
6581462,72,7,17,0.5,-1,2,1,0.5,72
6581463,73,18,18,-0.5,-1,1,1,-0.5,73
6581463,73,15,18,0.5,-1,2,1,-0.5,73
6581463,73,18,18,-0.5,-1,1,1,0.5,73
6581463,73,16,18,0.5,-1,2,1,0.5,73
6581651,74,12,18,-0.5,-1,1,1,-0.5,74
6581651,74,9,17,0.5,-1,2,1,-0.5,74
6581651,74,7,17,-0.5,-1,1,1,0.5,74
6581651,74,7,17,0.5,-1,2,1,0.5,74
6583074,75,11,18,-0.5,-1,1,1,-0.5,75
6583074,75,9,16,0.5,-1,2,1,-0.5,75
6583074,75,9,18,-0.5,-1,1,1,0.5,75
6583074,75,8,18,0.5,-1,2,1,0.5,75
6582974,76,18,18,-0.5,-1,1,1,-0.5,76
6582974,76,12,18,0.5,-1,2,1,-0.5,76
6582974,76,18,18,-0.5,-1,1,1,0.5,76
6582974,76,9,18,0.5,-1,2,1,0.5,76
6583057,77,8,18,-0.5,-1,1,1,-0.5,77
6583057,77,18,18,0.5,-1,2,1,-0.5,77
6583057,77,6,18,-0.5,-1,1,1,0.5,77
6583057,77,17,18,0.5,-1,2,1,0.5,77
6576586,78,8,17,-0.5,1,1,2,-0.5,78
6576586,78,8,17,0.5,1,2,2,-0.5,78
6576586,78,8,14,-0.5,1,1,2,0.5,78
6576586,78,9,15,0.5,1,2,2,0.5,78
6576561,79,9,16,-0.5,1,1,2,-0.5,79
6576561,79,13,18,0.5,1,2,2,-0.5,79
6576561,79,10,17,-0.5,1,1,2,0.5,79
6576561,79,8,18,0.5,1,2,2,0.5,79
6576605,80,5,15,-0.5,1,1,2,-0.5,80
6576605,80,9,18,0.5,1,2,2,-0.5,80
6576605,80,10,18,-0.5,1,1,2,0.5,80
6576605,80,6,18,0.5,1,2,2,0.5,80
6577317,81,17,18,-0.5,1,1,2,-0.5,81
6577317,81,10,17,0.5,1,2,2,-0.5,81
6577317,81,1,18,-0.5,1,1,2,0.5,81
6577317,81,9,18,0.5,1,2,2,0.5,81
6577312,82,17,18,-0.5,1,1,2,-0.5,82
6577312,82,18,18,0.5,1,2,2,-0.5,82
6577312,82,13,18,-0.5,1,1,2,0.5,82
6577312,82,18,18,0.5,1,2,2,0.5,82
6577360,83,10,18,-0.5,1,1,2,-0.5,83
6577360,83,17,18,0.5,1,2,2,-0.5,83
6577360,83,8,17,-0.5,1,1,2,0.5,83
6577360,83,11,18,0.5,1,2,2,0.5,83
6577344,84,16,18,-0.5,1,1,2,-0.5,84
6577344,84,14,18,0.5,1,2,2,-0.5,84
6577344,84,12,18,-0.5,1,1,2,0.5,84
6577344,84,10,18,0.5,1,2,2,0.5,84
6581425,86,16,18,-0.5,1,1,2,-0.5,85
6581425,86,17,18,0.5,1,2,2,-0.5,85
6581425,86,7,18,-0.5,1,1,2,0.5,85
6581425,86,9,18,0.5,1,2,2,0.5,85
6581451,87,13,18,-0.5,1,1,2,-0.5,86
6581451,87,9,18,0.5,1,2,2,-0.5,86
6581451,87,8,18,-0.5,1,1,2,0.5,86
6581451,87,9,18,0.5,1,2,2,0.5,86
6581516,88,10,18,-0.5,1,1,2,-0.5,87
6581516,88,14,18,0.5,1,2,2,-0.5,87
6581516,88,10,18,-0.5,1,1,2,0.5,87
6581516,88,12,18,0.5,1,2,2,0.5,87
6581464,89,12,18,-0.5,1,1,2,-0.5,88
6581464,89,16,18,0.5,1,2,2,-0.5,88
6581464,89,14,18,-0.5,1,1,2,0.5,88
6581464,89,15,17,0.5,1,2,2,0.5,88
6582981,90,17,18,-0.5,1,1,2,-0.5,89
6582981,90,14,18,0.5,1,2,2,-0.5,89
6582981,90,14,18,-0.5,1,1,2,0.5,89
6582981,90,14,18,0.5,1,2,2,0.5,89
6583066,91,13,18,-0.5,1,1,2,-0.5,90
6583066,91,17,18,0.5,1,2,2,-0.5,90
6583066,91,7,18,-0.5,1,1,2,0.5,90
6583066,91,11,18,0.5,1,2,2,0.5,90
6583421,92,9,18,-0.5,1,1,2,-0.5,91
6583421,92,10,18,0.5,1,2,2,-0.5,91
6583421,92,10,18,-0.5,1,1,2,0.5,91
6583421,92,9,18,0.5,1,2,2,0.5,91
6582991,93,18,18,-0.5,1,1,2,-0.5,92
6582991,93,12,18,0.5,1,2,2,-0.5,92
6582991,93,15,18,-0.5,1,1,2,0.5,92
6582991,93,7,18,0.5,1,2,2,0.5,92
6576548,94,18,18,-0.5,-1,1,1,-0.5,93
6576548,94,12,18,0.5,-1,2,1,-0.5,93
6576548,94,18,18,-0.5,-1,1,1,0.5,93
6576548,94,8,18,0.5,-1,2,1,0.5,93
6576640,95,12,17,-0.5,-1,1,1,-0.5,94
6576640,95,13,18,0.5,-1,2,1,-0.5,94
6576640,95,6,18,-0.5,-1,1,1,0.5,94
6576640,95,14,18,0.5,-1,2,1,0.5,94
6576603,96,8,18,-0.5,-1,1,1,-0.5,95
6576603,96,8,18,0.5,-1,2,1,-0.5,95
6576603,96,13,18,-0.5,-1,1,1,0.5,95
6576603,96,9,18,0.5,-1,2,1,0.5,95
6576774,97,6,17,-0.5,-1,1,1,-0.5,96
6576774,97,8,18,0.5,-1,2,1,-0.5,96
6576774,97,8,18,-0.5,-1,1,1,0.5,96
6576774,97,4,18,0.5,-1,2,1,0.5,96
6577301,98,18,18,-0.5,-1,1,1,-0.5,97
6577301,98,16,18,0.5,-1,2,1,-0.5,97
6577301,98,17,18,-0.5,-1,1,1,0.5,97
6577301,98,15,18,0.5,-1,2,1,0.5,97
6577338,99,11,18,-0.5,-1,1,1,-0.5,98
6577338,99,9,18,0.5,-1,2,1,-0.5,98
6577338,99,6,17,-0.5,-1,1,1,0.5,98
6577338,99,10,16,0.5,-1,2,1,0.5,98
6581436,101,18,18,-0.5,-1,1,1,-0.5,99
6581436,101,13,18,0.5,-1,2,1,-0.5,99
6581436,101,16,18,-0.5,-1,1,1,0.5,99
6581436,101,14,18,0.5,-1,2,1,0.5,99
6581431,102,18,18,-0.5,-1,1,1,-0.5,100
6581431,102,10,18,0.5,-1,2,1,-0.5,100
6581431,102,18,18,-0.5,-1,1,1,0.5,100
6581431,102,11,18,0.5,-1,2,1,0.5,100
6581419,103,18,18,-0.5,-1,1,1,-0.5,101
6581419,103,11,18,0.5,-1,2,1,-0.5,101
6581419,103,17,18,-0.5,-1,1,1,0.5,101
6581419,103,7,18,0.5,-1,2,1,0.5,101
6581469,104,10,18,-0.5,-1,1,1,-0.5,102
6581469,104,12,18,0.5,-1,2,1,-0.5,102
6581469,104,10,18,-0.5,-1,1,1,0.5,102
6581469,104,9,17,0.5,-1,2,1,0.5,102
6582871,105,18,18,-0.5,-1,1,1,-0.5,103
6582871,105,17,18,0.5,-1,2,1,-0.5,103
6582871,105,18,18,-0.5,-1,1,1,0.5,103
6582871,105,16,18,0.5,-1,2,1,0.5,103
6583058,106,17,18,-0.5,-1,1,1,-0.5,104
6583058,106,5,18,0.5,-1,2,1,-0.5,104
6583058,106,18,18,-0.5,-1,1,1,0.5,104
6583058,106,11,18,0.5,-1,2,1,0.5,104
6583073,107,13,15,-0.5,-1,1,1,-0.5,105
6583073,107,14,18,0.5,-1,2,1,-0.5,105
6583073,107,17,17,-0.5,-1,1,1,0.5,105
6583073,107,14,17,0.5,-1,2,1,0.5,105
6583134,108,18,18,-0.5,-1,1,1,-0.5,106
6583134,108,10,18,0.5,-1,2,1,-0.5,106
6583134,108,18,18,-0.5,-1,1,1,0.5,106
6583134,108,6,18,0.5,-1,2,1,0.5,106
6583843,109,15,18,-0.5,-1,1,1,-0.5,107
6583843,109,12,18,0.5,-1,2,1,-0.5,107
6583843,109,13,18,-0.5,-1,1,1,0.5,107
6583843,109,10,17,0.5,-1,2,1,0.5,107
6576538,110,13,16,-0.5,1,1,2,-0.5,108
6576538,110,14,16,0.5,1,2,2,-0.5,108
6576538,110,16,18,-0.5,1,1,2,0.5,108
6576538,110,13,18,0.5,1,2,2,0.5,108
6576604,111,16,18,-0.5,1,1,2,-0.5,109
6576604,111,17,18,0.5,1,2,2,-0.5,109
6576604,111,8,18,-0.5,1,1,2,0.5,109
6576604,111,11,17,0.5,1,2,2,0.5,109
6576661,112,13,18,-0.5,1,1,2,-0.5,110
6576661,112,12,18,0.5,1,2,2,-0.5,110
6576661,112,9,18,-0.5,1,1,2,0.5,110
6576661,112,8,18,0.5,1,2,2,0.5,110
6577334,113,14,18,-0.5,1,1,2,-0.5,111
6577334,113,12,18,0.5,1,2,2,-0.5,111
6577334,113,15,18,-0.5,1,1,2,0.5,111
6577334,113,17,18,0.5,1,2,2,0.5,111
6577319,114,10,18,-0.5,1,1,2,-0.5,112
6577319,114,9,18,0.5,1,2,2,-0.5,112
6577319,114,5,17,-0.5,1,1,2,0.5,112
6577319,114,8,18,0.5,1,2,2,0.5,112
6577401,115,15,18,-0.5,1,1,2,-0.5,113
6577401,115,14,18,0.5,1,2,2,-0.5,113
6577401,115,9,17,-0.5,1,1,2,0.5,113
6577401,115,10,17,0.5,1,2,2,0.5,113
6577345,116,12,18,-0.5,1,1,2,-0.5,114
6577345,116,7,18,0.5,1,2,2,-0.5,114
6577345,116,8,18,-0.5,1,1,2,0.5,114
6577345,116,8,16,0.5,1,2,2,0.5,114
6577879,117,13,18,-0.5,1,1,2,-0.5,115
6577879,117,15,18,0.5,1,2,2,-0.5,115
6577879,117,11,18,-0.5,1,1,2,0.5,115
6577879,117,10,18,0.5,1,2,2,0.5,115
