SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,phase,sub_idx
6576572,17,1,1,-0.5,-1,1,1,0.5,1,14
6576572,17,1,1,0.5,-1,2,1,0.5,1,14
6576572,17,0,1,-0.5,-1,1,1,0.5,2,14
6576572,17,0,1,0.5,-1,2,1,0.5,2,14
6576602,18,1,1,-0.5,-1,1,1,-0.5,1,15
6576602,18,1,1,0.5,-1,2,1,-0.5,1,15
6576602,18,1,1,-0.5,-1,1,1,-0.5,2,15
6576602,18,0,1,0.5,-1,2,1,-0.5,2,15
6576602,18,1,1,-0.5,-1,1,1,0.5,1,15
6576602,18,0,1,0.5,-1,2,1,0.5,1,15
6576602,18,0,1,-0.5,-1,1,1,0.5,2,15
6576602,18,0,1,0.5,-1,2,1,0.5,2,15
6576557,19,0,1,-0.5,-1,1,1,-0.5,1,16
6576557,19,1,1,0.5,-1,2,1,-0.5,1,16
6576557,19,1,1,-0.5,-1,1,1,-0.5,2,16
6576557,19,1,1,0.5,-1,2,1,-0.5,2,16
6576557,19,1,1,-0.5,-1,1,1,0.5,1,16
6576557,19,0,1,0.5,-1,2,1,0.5,1,16
6576557,19,0,1,-0.5,-1,1,1,0.5,2,16
6576557,19,1,1,0.5,-1,2,1,0.5,2,16
6577336,21,0,1,-0.5,-1,1,1,-0.5,1,17
6577336,21,0,1,0.5,-1,2,1,-0.5,1,17
6577336,21,1,1,-0.5,-1,1,1,-0.5,2,17
6577336,21,0,1,0.5,-1,2,1,-0.5,2,17
6577336,21,1,1,-0.5,-1,1,1,0.5,1,17
6577336,21,0,1,0.5,-1,2,1,0.5,1,17
6577336,21,1,1,-0.5,-1,1,1,0.5,2,17
6577336,21,0,1,0.5,-1,2,1,0.5,2,17
6577321,22,1,1,-0.5,-1,1,1,-0.5,1,18
6577321,22,1,1,0.5,-1,2,1,-0.5,1,18
6577321,22,1,1,-0.5,-1,1,1,-0.5,2,18
6577321,22,1,1,0.5,-1,2,1,-0.5,2,18
6577321,22,1,1,-0.5,-1,1,1,0.5,1,18
6577321,22,1,1,0.5,-1,2,1,0.5,1,18
6577321,22,1,1,-0.5,-1,1,1,0.5,2,18
6577321,22,1,1,0.5,-1,2,1,0.5,2,18
6577794,24,0,1,-0.5,-1,1,1,-0.5,1,19
6577794,24,1,1,0.5,-1,2,1,-0.5,1,19
6577794,24,1,1,-0.5,-1,1,1,-0.5,2,19
6577794,24,1,1,0.5,-1,2,1,-0.5,2,19
6577794,24,1,1,-0.5,-1,1,1,0.5,1,19
6577794,24,1,1,0.5,-1,2,1,0.5,1,19
6577794,24,1,1,-0.5,-1,1,1,0.5,2,19
6577794,24,0,1,0.5,-1,2,1,0.5,2,19
6581415,25,1,1,-0.5,-1,1,1,-0.5,1,20
6581415,25,1,1,0.5,-1,2,1,-0.5,1,20
6581415,25,1,1,-0.5,-1,1,1,-0.5,2,20
6581415,25,1,1,0.5,-1,2,1,-0.5,2,20
6581415,25,1,1,-0.5,-1,1,1,0.5,1,20
6581415,25,1,1,0.5,-1,2,1,0.5,1,20
6581415,25,0,1,-0.5,-1,1,1,0.5,2,20
6581415,25,1,1,0.5,-1,2,1,0.5,2,20
6581480,26,0,1,-0.5,-1,1,1,-0.5,1,21
6581480,26,0,1,0.5,-1,2,1,-0.5,1,21
6581480,26,1,1,-0.5,-1,1,1,-0.5,2,21
6581480,26,0,1,0.5,-1,2,1,-0.5,2,21
6581480,26,0,1,-0.5,-1,1,1,0.5,1,21
6581480,26,0,1,0.5,-1,2,1,0.5,1,21
6581480,26,1,1,-0.5,-1,1,1,0.5,2,21
6581480,26,0,1,0.5,-1,2,1,0.5,2,21
6581581,27,1,1,-0.5,-1,1,1,-0.5,1,22
6581581,27,1,1,0.5,-1,2,1,-0.5,1,22
6581581,27,1,1,-0.5,-1,1,1,-0.5,2,22
6581581,27,1,1,0.5,-1,2,1,-0.5,2,22
6581581,27,1,1,-0.5,-1,1,1,0.5,1,22
6581581,27,1,1,0.5,-1,2,1,0.5,1,22
6581581,27,0,1,-0.5,-1,1,1,0.5,2,22
6581581,27,0,1,0.5,-1,2,1,0.5,2,22
6581771,28,0,1,-0.5,-1,1,1,-0.5,1,23
6581771,28,0,1,0.5,-1,2,1,-0.5,1,23
6581771,28,0,1,-0.5,-1,1,1,-0.5,2,23
6581771,28,1,1,0.5,-1,2,1,-0.5,2,23
6581771,28,1,1,-0.5,-1,1,1,0.5,1,23
6581771,28,1,1,0.5,-1,2,1,0.5,1,23
6581771,28,1,1,-0.5,-1,1,1,0.5,2,23
6581771,28,0,1,0.5,-1,2,1,0.5,2,23
6583000,30,0,1,-0.5,-1,1,1,-0.5,1,24
6583000,30,1,1,0.5,-1,2,1,-0.5,1,24
6583000,30,1,1,-0.5,-1,1,1,-0.5,2,24
6583000,30,0,1,0.5,-1,2,1,-0.5,2,24
6583000,30,1,1,-0.5,-1,1,1,0.5,1,24
6583000,30,0,1,0.5,-1,2,1,0.5,1,24
6583000,30,1,1,-0.5,-1,1,1,0.5,2,24
6583000,30,1,1,0.5,-1,2,1,0.5,2,24
6583211,31,0,1,-0.5,-1,1,1,-0.5,1,25
6583211,31,0,1,0.5,-1,2,1,-0.5,1,25
6583211,31,1,1,-0.5,-1,1,1,-0.5,2,25
6583211,31,1,1,0.5,-1,2,1,-0.5,2,25
6583211,31,1,1,-0.5,-1,1,1,0.5,1,25
6583211,31,1,1,0.5,-1,2,1,0.5,1,25
6583211,31,0,1,-0.5,-1,1,1,0.5,2,25
6583211,31,0,1,0.5,-1,2,1,0.5,2,25
6576547,32,0,1,-0.5,1,1,2,-0.5,1,26
6576547,32,1,1,0.5,1,2,2,-0.5,1,26
6576547,32,1,1,-0.5,1,1,2,-0.5,2,26
6576547,32,0,1,0.5,1,2,2,-0.5,2,26
6576547,32,0,1,-0.5,1,1,2,0.5,1,26
6576547,32,0,1,0.5,1,2,2,0.5,1,26
6576547,32,0,1,-0.5,1,1,2,0.5,2,26
6576547,32,1,1,0.5,1,2,2,0.5,2,26
6576647,34,1,1,-0.5,1,1,2,-0.5,1,27
6576647,34,0,1,0.5,1,2,2,-0.5,1,27
6576647,34,0,1,-0.5,1,1,2,-0.5,2,27
6576647,34,1,1,0.5,1,2,2,-0.5,2,27
6576647,34,1,1,-0.5,1,1,2,0.5,1,27
6576647,34,1,1,0.5,1,2,2,0.5,1,27
6576647,34,1,1,-0.5,1,1,2,0.5,2,27
6576647,34,1,1,0.5,1,2,2,0.5,2,27
6577311,35,1,1,-0.5,1,1,2,-0.5,1,28
6577311,35,0,1,0.5,1,2,2,-0.5,1,28
6577311,35,1,1,-0.5,1,1,2,-0.5,2,28
6577311,35,1,1,0.5,1,2,2,-0.5,2,28
6577311,35,1,1,-0.5,1,1,2,0.5,1,28
6577311,35,0,1,0.5,1,2,2,0.5,1,28
6577311,35,1,1,-0.5,1,1,2,0.5,2,28
6577311,35,0,1,0.5,1,2,2,0.5,2,28
6577325,36,0,1,-0.5,1,1,2,-0.5,1,29
6577325,36,1,1,0.5,1,2,2,-0.5,1,29
6577325,36,1,1,-0.5,1,1,2,-0.5,2,29
6577325,36,0,1,0.5,1,2,2,-0.5,2,29
6577325,36,0,1,-0.5,1,1,2,0.5,1,29
6577325,36,0,1,0.5,1,2,2,0.5,1,29
6577325,36,0,1,-0.5,1,1,2,0.5,2,29
6577325,36,1,1,0.5,1,2,2,0.5,2,29
6577374,37,1,1,-0.5,1,1,2,-0.5,1,30
6577374,37,1,1,0.5,1,2,2,-0.5,1,30
6577374,37,0,1,-0.5,1,1,2,-0.5,2,30
6577374,37,1,1,0.5,1,2,2,-0.5,2,30
6577374,37,1,1,-0.5,1,1,2,0.5,1,30
