SubID,subject,correct,total_trials,trial_type,expected,condition,condition_non_rec,probe_type,sub_idx
6577303,20,2,9,1,-0.5,-1,1,0.5,20
6577303,20,3,9,1,0.5,-1,1,0.5,20
6577303,20,6,6,2,-0.5,-1,1,0.5,20
6577303,20,3,12,2,0.5,-1,1,0.5,20
6577336,21,4,6,2,-0.5,-1,1,-0.5,21
6577336,21,9,12,2,0.5,-1,1,-0.5,21
6577336,21,9,9,1,-0.5,-1,1,0.5,21
6577336,21,9,9,1,0.5,-1,1,0.5,21
6577336,21,6,6,2,-0.5,-1,1,0.5,21
6577336,21,8,12,2,0.5,-1,1,0.5,21
6577321,22,4,6,2,-0.5,-1,1,-0.5,22
6577321,22,5,12,2,0.5,-1,1,-0.5,22
6577321,22,8,9,1,-0.5,-1,1,0.5,22
6577321,22,7,9,1,0.5,-1,1,0.5,22
6577321,22,5,6,2,-0.5,-1,1,0.5,22
6577321,22,4,12,2,0.5,-1,1,0.5,22
6577408,23,2,6,2,-0.5,-1,1,-0.5,23
6577408,23,5,12,2,0.5,-1,1,-0.5,23
6577408,23,6,9,1,-0.5,-1,1,0.5,23
6577408,23,5,9,1,0.5,-1,1,0.5,23
6577408,23,1,6,2,-0.5,-1,1,0.5,23
6577408,23,6,12,2,0.5,-1,1,0.5,23
6577794,24,4,6,2,-0.5,-1,1,-0.5,24
6577794,24,7,12,2,0.5,-1,1,-0.5,24
6577794,24,6,9,1,-0.5,-1,1,0.5,24
6577794,24,3,9,1,0.5,-1,1,0.5,24
6577794,24,3,6,2,-0.5,-1,1,0.5,24
6577794,24,4,12,2,0.5,-1,1,0.5,24
6581415,25,6,6,2,-0.5,-1,1,-0.5,25
6581415,25,7,12,2,0.5,-1,1,-0.5,25
6581415,25,6,9,1,-0.5,-1,1,0.5,25
6581415,25,5,9,1,0.5,-1,1,0.5,25
6581415,25,2,6,2,-0.5,-1,1,0.5,25
6581415,25,8,12,2,0.5,-1,1,0.5,25
6581480,26,4,6,2,-0.5,-1,1,-0.5,26
6581480,26,10,12,2,0.5,-1,1,-0.5,26
6581480,26,2,9,1,-0.5,-1,1,0.5,26
6581480,26,7,9,1,0.5,-1,1,0.5,26
6581480,26,4,6,2,-0.5,-1,1,0.5,26
6581480,26,4,12,2,0.5,-1,1,0.5,26
6581581,27,6,6,2,-0.5,-1,1,-0.5,27
6581581,27,11,12,2,0.5,-1,1,-0.5,27
6581581,27,3,9,1,-0.5,-1,1,0.5,27
6581581,27,3,9,1,0.5,-1,1,0.5,27
6581581,27,2,6,2,-0.5,-1,1,0.5,27
6581581,27,4,12,2,0.5,-1,1,0.5,27
6581771,28,5,6,2,-0.5,-1,1,-0.5,28
6581771,28,2,12,2,0.5,-1,1,-0.5,28
6581771,28,5,9,1,-0.5,-1,1,0.5,28
6581771,28,7,9,1,0.5,-1,1,0.5,28
6581771,28,5,6,2,-0.5,-1,1,0.5,28
6581771,28,3,12,2,0.5,-1,1,0.5,28
6583102,29,3,6,2,-0.5,-1,1,-0.5,29
6583102,29,4,12,2,0.5,-1,1,-0.5,29
6583102,29,5,9,1,-0.5,-1,1,0.5,29
6583102,29,7,9,1,0.5,-1,1,0.5,29
6583102,29,2,6,2,-0.5,-1,1,0.5,29
6583102,29,5,12,2,0.5,-1,1,0.5,29
6583000,30,0,6,2,-0.5,-1,1,-0.5,30
6583000,30,6,12,2,0.5,-1,1,-0.5,30
6583000,30,8,9,1,-0.5,-1,1,0.5,30
6583000,30,9,9,1,0.5,-1,1,0.5,30
6583000,30,1,6,2,-0.5,-1,1,0.5,30
6583000,30,8,12,2,0.5,-1,1,0.5,30
6583211,31,4,6,2,-0.5,-1,1,-0.5,31
6583211,31,7,12,2,0.5,-1,1,-0.5,31
6583211,31,5,9,1,-0.5,-1,1,0.5,31
6583211,31,4,9,1,0.5,-1,1,0.5,31
6583211,31,2,6,2,-0.5,-1,1,0.5,31
6583211,31,9,12,2,0.5,-1,1,0.5,31
6576547,32,4,6,2,-0.5,1,2,-0.5,32
6576547,32,6,12,2,0.5,1,2,-0.5,32
6576547,32,5,9,1,-0.5,1,2,0.5,32
6576547,32,6,9,1,0.5,1,2,0.5,32
6576547,32,4,6,2,-0.5,1,2,0.5,32
6576547,32,7,12,2,0.5,1,2,0.5,32
6576624,33,4,6,2,-0.5,1,2,-0.5,33
6576624,33,8,12,2,0.5,1,2,-0.5,33
6576624,33,5,9,1,-0.5,1,2,0.5,33
6576624,33,1,9,1,0.5,1,2,0.5,33
6576624,33,3,6,2,-0.5,1,2,0.5,33
6576624,33,5,12,2,0.5,1,2,0.5,33
6576647,34,5,6,2,-0.5,1,2,-0.5,34
6576647,34,9,12,2,0.5,1,2,-0.5,34
6576647,34,4,9,1,-0.5,1,2,0.5,34
6576647,34,2,9,1,0.5,1,2,0.5,34
6576647,34,4,6,2,-0.5,1,2,0.5,34
6576647,34,8,12,2,0.5,1,2,0.5,34
6577311,35,2,6,2,-0.5,1,2,-0.5,35
6577311,35,9,12,2,0.5,1,2,-0.5,35
6577311,35,6,9,1,-0.5,1,2,0.5,35
6577311,35,4,9,1,0.5,1,2,0.5,35
6577311,35,2,6,2,-0.5,1,2,0.5,35
6577311,35,6,12,2,0.5,1,2,0.5,35
6577325,36,4,6,2,-0.5,1,2,-0.5,36
6577325,36,11,12,2,0.5,1,2,-0.5,36
6577325,36,6,9,1,-0.5,1,2,0.5,36
6577325,36,6,9,1,0.5,1,2,0.5,36
6577325,36,3,6,2,-0.5,1,2,0.5,36
6577325,36,9,12,2,0.5,1,2,0.5,36
6577374,37,6,6,2,-0.5,1,2,-0.5,37
6577374,37,11,12,2,0.5,1,2,-0.5,37
6577374,37,6,9,1,-0.5,1,2,0.5,37
6577374,37,4,9,1,0.5,1,2,0.5,37
6577374,37,5,6,2,-0.5,1,2,0.5,37
6577374,37,6,12,2,0.5,1,2,0.5,37
6577493,38,6,6,2,-0.5,1,2,-0.5,38
6577493,38,11,12,2,0.5,1,2,-0.5,38
6577493,38,9,9,1,-0.5,1,2,0.5,38
6577493,38,9,9,1,0.5,1,2,0.5,38
6577493,38,5,6,2,-0.5,1,2,0.5,38
6577493,38,12,12,2,0.5,1,2,0.5,38
6578172,39,2,6,2,-0.5,1,2,-0.5,39
6578172,39,9,12,2,0.5,1,2,-0.5,39
6578172,39,7,9,1,-0.5,1,2,0.5,39
6578172,39,5,9,1,0.5,1,2,0.5,39
6578172,39,2,6,2,-0.5,1,2,0.5,39
6578172,39,9,12,2,0.5,1,2,0.5,39
6581457,40,4,6,2,-0.5,1,2,-0.5,40
6581457,40,8,12,2,0.5,1,2,-0.5,40
6581457,40,7,9,1,-0.5,1,2,0.5,40
6581457,40,9,9,1,0.5,1,2,0.5,40
6581457,40,3,6,2,-0.5,1,2,0.5,40
6581457,40,7,12,2,0.5,1,2,0.5,40
6581473,41,6,6,2,-0.5,1,2,-0.5,41
6581473,41,10,12,2,0.5,1,2,-0.5,41
6581473,41,7,9,1,-0.5,1,2,0.5,41
6581473,41,9,9,1,0.5,1,2,0.5,41
6581473,41,3,6,2,-0.5,1,2,0.5,41
6581473,41,7,12,2,0.5,1,2,0.5,41
6581482,42,4,6,2,-0.5,1,2,-0.5,42
6581482,42,9,12,2,0.5,1,2,-0.5,42
6581482,42,1,9,1,-0.5,1,2,0.5,42
6581482,42,0,9,1,0.5,1,2,0.5,42
6581482,42,4,6,2,-0.5,1,2,0.5,42
6581482,42,6,12,2,0.5,1,2,0.5,42
6583001,43,3,6,2,-0.5,1,2,-0.5,43
6583001,43,10,12,2,0.5,1,2,-0.5,43
6583001,43,8,9,1,-0.5,1,2,0.5,43
6583001,43,9,9,1,0.5,1,2,0.5,43
6583001,43,3,6,2,-0.5,1,2,0.5,43
6583001,43,9,12,2,0.5,1,2,0.5,43
6582995,44,5,6,2,-0.5,1,2,-0.5,44
6582995,44,10,12,2,0.5,1,2,-0.5,44
6582995,44,1,9,1,-0.5,1,2,0.5,44
6582995,44,0,9,1,0.5,1,2,0.5,44
6582995,44,4,6,2,-0.5,1,2,0.5,44
6582995,44,7,12,2,0.5,1,2,0.5,44
6583070,45,6,6,2,-0.5,1,2,-0.5,45
6583070,45,11,12,2,0.5,1,2,-0.5,45
6583070,45,1,9,1,-0.5,1,2,0.5,45
6583070,45,0,9,1,0.5,1,2,0.5,45
6583070,45,6,6,2,-0.5,1,2,0.5,45
6583070,45,9,12,2,0.5,1,2,0.5,45
6583714,46,5,6,2,-0.5,1,2,-0.5,46
6583714,46,10,12,2,0.5,1,2,-0.5,46
6583714,46,7,9,1,-0.5,1,2,0.5,46
6583714,46,8,9,1,0.5,1,2,0.5,46
6583714,46,5,6,2,-0.5,1,2,0.5,46
6583714,46,11,12,2,0.5,1,2,0.5,46
6583839,47,5,6,2,-0.5,1,2,-0.5,47
6583839,47,8,12,2,0.5,1,2,-0.5,47
6583839,47,6,9,1,-0.5,1,2,0.5,47
6583839,47,9,9,1,0.5,1,2,0.5,47
6583839,47,6,6,2,-0.5,1,2,0.5,47
6583839,47,10,12,2,0.5,1,2,0.5,47
6576577,48,6,6,2,-0.5,1,2,-0.5,48
6576577,48,10,12,2,0.5,1,2,-0.5,48
6576577,48,6,9,1,-0.5,1,2,0.5,48
6576577,48,9,9,1,0.5,1,2,0.5,48
6576577,48,4,6,2,-0.5,1,2,0.5,48
6576577,48,5,12,2,0.5,1,2,0.5,48
6576671,49,6,6,2,-0.5,1,2,-0.5,49
6576671,49,8,12,2,0.5,1,2,-0.5,49
6576671,49,8,9,1,-0.5,1,2,0.5,49
6576671,49,8,9,1,0.5,1,2,0.5,49
6576671,49,3,6,2,-0.5,1,2,0.5,49
6576671,49,5,12,2,0.5,1,2,0.5,49
6576614,50,5,6,2,-0.5,1,2,-0.5,50
6576614,50,7,12,2,0.5,1,2,-0.5,50
6576614,50,5,9,1,-0.5,1,2,0.5,50
6576614,50,7,9,1,0.5,1,2,0.5,50
6576614,50,2,6,2,-0.5,1,2,0.5,50
6576614,50,7,12,2,0.5,1,2,0.5,50
6577313,51,4,6,2,-0.5,1,2,-0.5,51
6577313,51,11,12,2,0.5,1,2,-0.5,51
6577313,51,6,9,1,-0.5,1,2,0.5,51
6577313,51,5,9,1,0.5,1,2,0.5,51
6577313,51,4,6,2,-0.5,1,2,0.5,51
6577313,51,12,12,2,0.5,1,2,0.5,51
6577307,52,6,6,2,-0.5,1,2,-0.5,52
6577307,52,5,12,2,0.5,1,2,-0.5,52
6577307,52,2,9,1,-0.5,1,2,0.5,52
6577307,52,9,9,1,0.5,1,2,0.5,52
6577307,52,5,6,2,-0.5,1,2,0.5,52
6577307,52,2,12,2,0.5,1,2,0.5,52
6577350,53,6,6,2,-0.5,1,2,-0.5,53
6577350,53,11,12,2,0.5,1,2,-0.5,53
6577350,53,4,9,1,-0.5,1,2,0.5,53
6577350,53,7,9,1,0.5,1,2,0.5,53
6577350,53,6,6,2,-0.5,1,2,0.5,53
6577350,53,11,12,2,0.5,1,2,0.5,53
6577363,54,4,6,2,-0.5,1,2,-0.5,54
6577363,54,7,12,2,0.5,1,2,-0.5,54
6577363,54,6,9,1,-0.5,1,2,0.5,54
6577363,54,3,9,1,0.5,1,2,0.5,54
6577363,54,3,6,2,-0.5,1,2,0.5,54
6577363,54,5,12,2,0.5,1,2,0.5,54
6577883,55,6,6,2,-0.5,1,2,-0.5,55
6577883,55,12,12,2,0.5,1,2,-0.5,55
6577883,55,7,9,1,-0.5,1,2,0.5,55
6577883,55,1,9,1,0.5,1,2,0.5,55
6577883,55,3,6,2,-0.5,1,2,0.5,55
6577883,55,12,12,2,0.5,1,2,0.5,55
6581471,56,3,6,2,-0.5,1,2,-0.5,56
6581471,56,9,12,2,0.5,1,2,-0.5,56
6581471,56,7,9,1,-0.5,1,2,0.5,56
6581471,56,8,9,1,0.5,1,2,0.5,56
6581471,56,3,6,2,-0.5,1,2,0.5,56
6581471,56,10,12,2,0.5,1,2,0.5,56
6581416,57,5,6,2,-0.5,1,2,-0.5,57
6581416,57,10,12,2,0.5,1,2,-0.5,57
